username,entry_id,slug,name,rewatched,rating,liked,reviewed,date,page_url,page_no
sverlaan,1305571792,the-human-condition-ii-road-to-eternity,The Human Condition II: Road to Eternity,False,4.5,True,True,2026-05-05T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1304286551,fireworks-1997,Fireworks,False,3.5,False,False,2026-05-03T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1300219458,the-devil-wears-prada-2,The Devil Wears Prada 2,False,2.5,False,True,2026-05-01T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1299040143,the-devil-wears-prada,The Devil Wears Prada,False,4.0,True,True,2026-04-30T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1291894779,talk-to-me-2022,Talk to Me,True,4.5,True,False,2026-04-20T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1287518192,little-women-2019,Little Women,True,5.0,True,False,2026-04-19T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1300953642,speak-no-evil-2022,Speak No Evil,False,2.5,False,False,2026-04-08T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1268621630,the-drama,The Drama,False,4.0,True,False,2026-04-04T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1262124190,project-hail-mary,Project Hail Mary,False,4.0,True,False,2026-03-29T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1262124060,the-cable-guy,The Cable Guy,False,3.0,False,False,2026-03-19T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1246885532,kikis-delivery-service,Kiki's Delivery Service,True,5.0,True,True,2026-03-15T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
sverlaan,1239649183,wuthering-heights-2026,Wuthering Heights,False,2.0,False,True,2026-03-14T00:00:00.000000Z,https://letterboxd.com/sverlaan/films/diary/page/1/,1
